# Batch config for CROWN MPC
# Format: image_id,true_label,target_label
# Generated from plaintext CROWN results
0,7,6
1,2,4
2,1,5
3,0,3
4,4,0
5,1,6
6,4,0
9,9,6
10,0,4
11,6,7
12,9,6
13,0,4
14,1,0
15,5,4
16,9,1
17,7,6
19,4,0
20,9,6
21,6,7
22,6,3
23,5,2
24,4,0
25,0,3
26,7,6
27,4,0
28,0,4
29,1,0
30,3,6
31,1,0
32,3,4
33,4,7
34,7,6
35,2,4
36,7,6
37,1,0
38,2,4
39,1,2
40,1,0
41,7,6
42,4,6
43,2,9
44,3,0
45,5,7
46,1,0
47,2,9
48,4,0
49,4,6
50,6,7
51,3,4
52,5,2
53,5,4
54,6,3
55,0,4
56,4,0
57,1,5
58,9,6
59,5,6
60,7,6
64,7,6
65,4,0
66,6,4
67,4,6
68,3,4
69,0,4
70,7,6
71,0,4
72,2,4
73,9,6
74,1,0
75,7,6
76,3,4
77,2,4
78,9,6
79,7,6
80,7,6
81,6,3
82,2,4
83,7,6
84,8,0
85,4,0
86,7,6
87,3,0
88,6,3
89,1,0
90,3,4
91,6,7
92,9,0
93,3,6
94,1,0
95,4,3
96,1,0
97,7,6
98,6,7
99,9,6
